Abel Cavalcante Lima Filho ,Faixa A ,Universidade Federal da Paraíba ,PB ,UFPB ,NE
Acrisio Lins de Aguiar ,Faixa A ,Universidade Federal do Piauí ,PI ,UFPI ,NE
Adailson Feitoza de Jesus Santos ,Faixa A ,Universidade do Estado da Bahia ,BA ,UNEB ,NE
Adelia Ferreira de Faria-Machado ,Faixa A ,Empresa Brasileira de Pesquisa Agropecuária ,DF ,EMBRAPA ,CO
Adelina de Oliveira Novaes ,Faixa A ,Fundação Carlos Chagas ,SP ,FCC ,SE
Ademar Avelar de Almeida Júnior ,Faixa A ,Universidade Estadual de Maringá ,PR ,UEM ,SU
Ademar Pozzatti Junior ,Faixa A ,Universidade Federal de Santa Maria ,RS ,UFSM ,SU
Ademir de Jesus Martins Júnior ,Faixa A ,Fundação Oswaldo Cruz ,RJ ,FIOCRUZ ,SE
Adenilton José da Silva ,Faixa A ,Universidade Federal Rural de Pernambuco ,PE ,UFRPE ,NE
Adiel Teixeira de Almeida Filho ,Faixa A ,Universidade Federal de Pernambuco ,PE ,UFPE ,NE
Adolfo Fernandes Herbster ,Faixa A ,Universidade Federal de Campina Grande ,PB ,UFCG ,NE
Adriana Bin ,Faixa A ,Universidade Estadual de Campinas ,SP ,UNICAMP ,SE
Adriana Campos ,Faixa A ,Universidade do Vale do Itajaí ,SC ,UNIVALI ,SU
Adriana Costa Guimarães ,Faixa A ,Universidade Federal do Pará ,PA ,UFPA ,NO
Adriana de Aquino Soeiro Felix ,Faixa A ,"Instituto Federal de Educação, Ciência e Tecnologia ",RJ ,IFRJ ,SE
Adriana de Fatima Meira Vital ,Faixa A ,Universidade Federal de Campina Grande ,PB ,UFCG ,NE
Adriana de França Drummond ,Faixa A ,Universidade Federal de Minas Gerais ,MG ,UFMG ,SE
Adriana de Souza Caroci ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
Adriana Luchs ,Faixa A ,Instituto Adolfo Lutz ,SP ,IAL ,SE
Adriana Pertille ,Faixa A ,Universidade Metodista de Piracicaba ,SP ,UNIMEP ,SE
